,video_link,video_views,upload_date,comments,likes,dislikes
60,https://www.youtube.com/watch?v=mVCje16wPHM,5,2016-01-21T11:41:51Z,0,0,0
61,https://www.youtube.com/watch?v=hPOzTCo1Klg,28,2016-12-06T21:49:50Z,0,0,0
62,https://www.youtube.com/watch?v=dtrB5kS5W0s,8,2016-01-13T17:19:28Z,0,0,0
63,https://www.youtube.com/watch?v=0nFEtM0UfCo,20,2018-02-16T10:31:05Z,0,2,0
64,https://www.youtube.com/watch?v=SspDP_GYI4Y,9,2015-02-23T11:58:03Z,0,0,0
65,https://www.youtube.com/watch?v=wFxECmV_0nQ,0,2017-05-31T21:07:26Z,0,0,0
66,https://www.youtube.com/watch?v=ovvYu5V93u0,5,2015-08-18T04:41:43Z,0,0,0
67,https://www.youtube.com/watch?v=ikHL3cD3q1Q,2,2017-01-18T22:13:08Z,0,0,0
68,https://www.youtube.com/watch?v=jmwWKxRZweA,15,2016-11-08T05:55:14Z,0,0,0
69,https://www.youtube.com/watch?v=TM6MTizY_Ik,24,2017-10-03T18:45:42Z,0,0,0
70,https://www.youtube.com/watch?v=nlb1-W4yKpw,2669,2019-05-13T10:01:32Z,1,22,0
71,https://www.youtube.com/watch?v=RAeF5FkupnM,0,2015-09-13T20:32:53Z,0,0,0
72,https://www.youtube.com/watch?v=5FOP4NJ8FwI,0,2015-09-13T20:49:49Z,0,0,0
73,https://www.youtube.com/watch?v=Gonmy3ENABg,0,2015-09-13T20:52:00Z,0,0,0
74,https://www.youtube.com/watch?v=65hODw1qTYM,0,2015-09-13T20:57:11Z,0,0,0
75,https://www.youtube.com/watch?v=q6tZkt5K4WQ,84,2010-11-20T17:01:45Z,0,1,0
76,https://www.youtube.com/watch?v=j1jYLfetpnE,991,2012-07-03T16:39:43Z,0,6,0
77,https://www.youtube.com/watch?v=tJa819Ij-Y4,219,2020-03-10T11:26:40Z,0,5,0
78,https://www.youtube.com/watch?v=NxEzO6sfkz8,498689,2019-08-12T06:27:32Z,123,8570,437
79,https://www.youtube.com/watch?v=JnQ2prdNl4o,71028,2020-04-24T13:39:27Z,12,970,28
80,https://www.youtube.com/watch?v=k5QCO6qr4SQ,666582,2019-10-25T08:30:45Z,113,9034,374
81,https://www.youtube.com/watch?v=NtYac2c2TIk,397664,2019-10-20T08:13:53Z,63,5287,222
82,https://www.youtube.com/watch?v=psQPdOxr5hw,12510,2020-04-06T13:25:18Z,0,258,11
83,https://www.youtube.com/watch?v=hJqUfOUAdDA,1480285,2019-08-15T06:34:10Z,371,30698,1444
84,https://www.youtube.com/watch?v=XsIcxU7GICk,1922434,2020-02-10T11:52:49Z,131,13239,1189
85,https://www.youtube.com/watch?v=Q1rtiXt0_Sk,224617,2019-08-24T08:35:30Z,81,3353,222
86,https://www.youtube.com/watch?v=19ncXXWzTEE,385331,2020-01-01T13:06:51Z,92,7561,237
87,https://www.youtube.com/watch?v=V9VeyWsLjj8,178484,2020-04-23T13:32:57Z,21,1945,106
88,https://www.youtube.com/watch?v=q8jfCoHcPR4,185473,2019-09-28T09:03:33Z,72,3202,106
89,https://www.youtube.com/watch?v=bmBnhV7Dghc,17978,2020-04-10T15:41:14Z,2,133,8
90,https://www.youtube.com/watch?v=JXNg7Mz4nMs,10978,2020-03-02T06:31:22Z,1,157,6
91,https://www.youtube.com/watch?v=gF2G757Z4_o,368545,2020-02-17T06:55:51Z,11,1437,110
92,https://www.youtube.com/watch?v=qCWPX_SPeYM,4938,2020-04-02T15:58:16Z,2,113,6
93,https://www.youtube.com/watch?v=CvxHSfwNj1g,544807,2019-08-28T09:51:52Z,132,10906,496
94,https://www.youtube.com/watch?v=8yPJ4KWYFOc,739802,2019-07-27T04:54:33Z,104,9494,528
95,https://www.youtube.com/watch?v=hqzj53dOYaY,69662,2020-02-02T07:56:36Z,5,904,31
96,https://www.youtube.com/watch?v=iaH3LEHogYs,178483,2019-07-10T08:45:29Z,29,1912,142
97,https://www.youtube.com/watch?v=avyEjH8YImQ,5748,2020-04-04T09:59:01Z,0,104,6
98,https://www.youtube.com/watch?v=Ol_Me365NWg,439572,2020-02-18T06:40:32Z,3,999,48
99,https://www.youtube.com/watch?v=5sz74UVa_Gs,169932,2019-09-15T08:07:44Z,57,3526,109
100,https://www.youtube.com/watch?v=gfxoE1bIvmg,1291682,2019-11-27T05:30:00Z,162,11601,552
101,https://www.youtube.com/watch?v=Z8x3H46L0kM,2251,2020-03-24T14:22:14Z,0,73,2
102,https://www.youtube.com/watch?v=wyvNODpMeHQ,45386,2019-07-05T04:11:42Z,13,409,26
103,https://www.youtube.com/watch?v=wTyYQ8DrThc,53065,2020-02-04T06:44:52Z,2,539,25
104,https://www.youtube.com/watch?v=ryai957A97Y,1161,2020-05-14T06:48:54Z,1,14,1
105,https://www.youtube.com/watch?v=VO-QAcuYhtw,19661,2020-02-24T07:12:10Z,3,290,14
106,https://www.youtube.com/watch?v=czYTAWIZwxY,30790,2019-07-20T03:59:25Z,35,651,33
107,https://www.youtube.com/watch?v=_rQjA3-c1rk,2650,2016-07-02T21:05:15Z,3,18,1
108,https://www.youtube.com/watch?v=MCMtsAJ74BI,17,2016-11-18T23:45:11Z,0,2,3
109,https://www.youtube.com/watch?v=Bncmzk-c1rk,145860,2019-05-03T09:47:13Z,0,297,175
110,https://www.youtube.com/watch?v=C1Rk-VUFwj0,199901,2019-11-14T10:00:02Z,341,13147,376
111,https://www.youtube.com/watch?v=CMfFML-c1rk,11016,2014-12-22T21:00:04Z,53,507,6
112,https://www.youtube.com/watch?v=C1rK-ciSR68,38540,2016-03-15T08:35:32Z,12,297,29
113,https://www.youtube.com/watch?v=C1rk-KAZ60o,2883,2019-08-14T22:00:56Z,80,134,0
114,https://www.youtube.com/watch?v=a30oLM-C1rk,19,2016-06-19T18:32:55Z,3,2,0
